NON-MATCHING CODES REPORT
Generated: 2026-02-23 15:40:03
Total non-matches: 276
============================================================

  1. Searched: C00443100       → Found: C00443131
  2. Searched: C00112870       → Found: C00112886
  3. Searched: C00544374       → Found: C00544423
  4. Searched: C00035127       → Found: C00035154
  5. Searched: C00014704       → Found: C00014705
  6. Searched: C00104358       → Found: C00104359-A006
  7. Searched: C00071868       → Found: C00071910
  8. Searched: C00013851       → Found: C00013897
  9. Searched: C00112864       → Found: C00112886
 10. Searched: C00032700       → Found: C00032724
 11. Searched: C00026832       → Found: C00027104-4100
 12. Searched: C00070569       → Found: C00070718
 13. Searched: C00013880       → Found: C00013897
 14. Searched: C00050140       → Found: C00050141
 15. Searched: C00021124       → Found: C00021127
 16. Searched: C00001382       → Found: C00001496
 17. Searched: C00386117       → Found: C00386350
 18. Searched: C00090218       → Found: C00090295
 19. Searched: C00242759       → Found: C00242787
 20. Searched: C00041591       → Found: C00041912
 21. Searched: C00013871       → Found: C00013897
 22. Searched: C00256386       → Found: C00256588
 23. Searched: C00215575       → Found: C00215579
 24. Searched: C00058304       → Found: C00058386-4100
 25. Searched: C00032976       → Found: C00033180
 26. Searched: C00089551       → Found: C00089590
 27. Searched: C00101165       → Found: C00101207
 28. Searched: C00005629       → Found: C00005632
 29. Searched: C00693811       → Found: C00693862
 30. Searched: C00026223       → Found: C00026278
 31. Searched: C00650688       → Found: C00650706
 32. Searched: C00387916       → Found: C00387994
 33. Searched: C00054256       → Found: C00054325
 34. Searched: C00191101       → Found: C00191105
 35. Searched: C00625046       → Found: C00625422
 36. Searched: C00005518       → Found: C00005530-F006
 37. Searched: C00345241       → Found: C00345274
 38. Searched: C00016335       → Found: C00016408
 39. Searched: C00353290       → Found: C00353328
 40. Searched: C00534891       → Found: C00534963
 41. Searched: C00087061       → Found: C00087106
 42. Searched: C00002687       → Found: C00002732
 43. Searched: C00670099       → Found: C00670362
 44. Searched: C00195706       → Found: C00195712-F060
 45. Searched: C00088651       → Found: C00088658
 46. Searched: C00138058       → Found: C00138368-4100
 47. Searched: C00611172       → Found: C00611173
 48. Searched: C00215576       → Found: C00215579
 49. Searched: C00003836       → Found: C00003838
 50. Searched: C00227583       → Found: C00227697
 51. Searched: C00014521       → Found: C00014523
 52. Searched: C00534894       → Found: C00534963
 53. Searched: C00342320       → Found: C00342361
 54. Searched: C00076674       → Found: C00076675
 55. Searched: C00216803       → Found: C00216804-F014
 56. Searched: C00043498       → Found: C00043551-4100
 57. Searched: C00049667       → Found: C00049669-4100
 58. Searched: C00021121       → Found: C00021127
 59. Searched: C00670102       → Found: C00670362
 60. Searched: C00267328       → Found: C00267330
 61. Searched: C00437266       → Found: C00437270
 62. Searched: C00112280       → Found: C00112280-F014
 63. Searched: C00040829       → Found: C00041053
 64. Searched: C00313998       → Found: C00314029-4100
 65. Searched: C00016192       → Found: C00016230
 66. Searched: C00001366       → Found: C00001375
 67. Searched: C00130750       → Found: C00130846-4100
 68. Searched: C00270786       → Found: C00270891
 69. Searched: C00015165       → Found: C00015185
 70. Searched: C00016352       → Found: C00016408
 71. Searched: C00392577       → Found: C00392614
 72. Searched: C00652857       → Found: C00653534
 73. Searched: C00037490       → Found: C00037525
 74. Searched: C00090215       → Found: C00090295
 75. Searched: C00312777       → Found: C00312975
 76. Searched: C00364389       → Found: C00364443
 77. Searched: C00517855       → Found: C00517942
 78. Searched: C00126829       → Found: C00127122
 79. Searched: C00088639       → Found: C00088642
 80. Searched: C00088645       → Found: C00088649
 81. Searched: B00004763       → Found: B00004765
 82. Searched: C00065768       → Found: C00066023
 83. Searched: C00556124       → Found: C00556354
 84. Searched: C00275280       → Found: C00275363
 85. Searched: C00042720       → Found: C00042736
 86. Searched: C00098462       → Found: C00098467-F050
 87. Searched: C00145323       → Found: C00145395
 88. Searched: C00014604       → Found: C00014607
 89. Searched: C00002688       → Found: C00002732
 90. Searched: C00016157       → Found: C00016164
 91. Searched: C00001372       → Found: C00001375
 92. Searched: C00216414       → Found: C00216415
 93. Searched: C00343587       → Found: C00343597
 94. Searched: C00090188       → Found: C00090295
 95. Searched: C00089548       → Found: C00089590
 96. Searched: C00006099       → Found: C00006135-A015
 97. Searched: C00013841       → Found: C00013848
 98. Searched: B00005191       → Found: B00005194
 99. Searched: C00090209       → Found: C00090295
100. Searched: C00145322       → Found: C00145395
101. Searched: C00104418       → Found: C00104444
102. Searched: C00346074       → Found: C00346258
103. Searched: C00412803       → Found: C00412808
104. Searched: C00419336       → Found: C00419589
105. Searched: C00066713       → Found: C00066831
106. Searched: C00145320       → Found: C00145395
107. Searched: C00286028       → Found: C00286042
108. Searched: C00034134       → Found: C00034175
109. Searched: C00670096       → Found: C00670362
110. Searched: C00028857       → Found: C00029068
111. Searched: C00090174       → Found: C00090295
112. Searched: C00218647       → Found: C00218653
113. Searched: C00561192       → Found: C00561270
114. Searched: C00026554       → Found: C00026695
115. Searched: C00232777       → Found: C00232873-4100
116. Searched: B00005189       → Found: B00005194
117. Searched: C00024700       → Found: C00024702
118. Searched: C00014606       → Found: C00014607
119. Searched: C00429707       → Found: C00429775
120. Searched: C00088641       → Found: C00088642
121. Searched: C00773820       → Found: C00778667-4100
122. Searched: C00090216       → Found: C00090295
123. Searched: C00119688       → Found: C00119732-4100
124. Searched: C00038059       → Found: C00038065
125. Searched: C00611174       → Found: C00611176
126. Searched: C00015334       → Found: C00015396
127. Searched: C00437184       → Found: C00437191-F265
128. Searched: C00054257       → Found: C00054325
129. Searched: C00016212       → Found: C00016230
130. Searched: C00090185       → Found: C00090295
131. Searched: C00024797       → Found: C00024800
132. Searched: C00216410       → Found: C00216411
133. Searched: C00216070       → Found: C00216304
134. Searched: C00112408       → Found: C00112412
135. Searched: C00050115       → Found: C00050116
136. Searched: C00689411       → Found: C00689886
137. Searched: C00032375       → Found: C00032642
138. Searched: C00342322       → Found: C00342361
139. Searched: C00191100       → Found: C00191105
140. Searched: C00024562       → Found: C00024563-A028
141. Searched: C00085993       → Found: C00086039
142. Searched: C00270785       → Found: C00270891
143. Searched: C00111505       → Found: C00111733
144. Searched: C00070567       → Found: C00070718
145. Searched: C00014416       → Found: C00014441-4100
146. Searched: C00006746       → Found: C00006777
147. Searched: C00216412       → Found: C00216415
148. Searched: C00013584       → Found: C00013588
149. Searched: C00013582       → Found: C00013588
150. Searched: C00255489       → Found: C00255501
151. Searched: C00014832       → Found: C00015097
152. Searched: C00007847       → Found: C00007847-A006
153. Searched: C00005622       → Found: C00005632
154. Searched: C00437685       → Found: C00437928
155. Searched: C00343612       → Found: C00343613
156. Searched: C00065767       → Found: C00066023
157. Searched: C00689412       → Found: C00689886
158. Searched: C00036083       → Found: C00036166
159. Searched: C00211081       → Found: C00211099
160. Searched: C00054255       → Found: C00054325
161. Searched: C00145319       → Found: C00145395
162. Searched: C00112869       → Found: C00112886
163. Searched: C00016336       → Found: C00016408
164. Searched: C00130749       → Found: C00130846-4100
165. Searched: C00216801       → Found: C00216801-A061
166. Searched: C00625038       → Found: C00625422
167. Searched: C00112866       → Found: C00112886
168. Searched: C00033353       → Found: C00033368
169. Searched: C00166355       → Found: C00166433
170. Searched: C00067854       → Found: C00067867
171. Searched: C00326208       → Found: C00326244
172. Searched: C00112319       → Found: C00112320
173. Searched: C00364385       → Found: C00364443
174. Searched: C00693820       → Found: C00693862
175. Searched: C00275285       → Found: C00275363
176. Searched: C00342324       → Found: C00342361
177. Searched: C00021120       → Found: C00021127
178. Searched: C00045813       → Found: C00045838
179. Searched: C00089249       → Found: C00089306
180. Searched: C00085377       → Found: C00085379
181. Searched: C00090206       → Found: C00090295
182. Searched: C00002383       → Found: C00002387
183. Searched: C00041057       → Found: C00041151
184. Searched: C00065790       → Found: C00066023
185. Searched: C00336210       → Found: C00336279
186. Searched: C00317198       → Found: C00317959
187. Searched: C00028550       → Found: C00028609
188. Searched: C00218005       → Found: C00218011
189. Searched: C00255023       → Found: C00255024
190. Searched: C00006451       → Found: C00006455-A011
191. Searched: C00016200       → Found: C00016230
192. Searched: C00104417       → Found: C00104444
193. Searched: C00035125       → Found: C00035154
194. Searched: C00690387       → Found: C00690418
195. Searched: C00216802       → Found: C00216804-F014
196. Searched: C00211083       → Found: C00211099
197. Searched: C00216413       → Found: C00216415
198. Searched: C00693818       → Found: C00693862
199. Searched: C00004321       → Found: C00004406-4100
200. Searched: C00086078       → Found: C00086104
201. Searched: C00024701       → Found: C00024702
202. Searched: C00090201       → Found: C00090295
203. Searched: C00089544       → Found: C00089590
204. Searched: C00021123       → Found: C00021127
205. Searched: C00567380       → Found: C00567394
206. Searched: C00054393       → Found: C00054394
207. Searched: C00016193       → Found: C00016230
208. Searched: C00216416       → Found: C00216417-A061
209. Searched: C00006098       → Found: C00006135-A015
210. Searched: C00317904       → Found: C00317959
211. Searched: C00514312       → Found: C00514429
212. Searched: C00441392       → Found: C00441422-3034
213. Searched: C00089547       → Found: C00089590
214. Searched: C00112840       → Found: C00112886
215. Searched: C00106157       → Found: C00106163
216. Searched: C00093389       → Found: C00093389-F067
217. Searched: C00693816       → Found: C00693862
218. Searched: C00176194       → Found: C00176370
219. Searched: C00021122       → Found: C00021127
220. Searched: C00421415       → Found: C00421559
221. Searched: C00006651       → Found: C00006659
222. Searched: C00130738       → Found: C00130846-4100
223. Searched: C00312771       → Found: C00312975
224. Searched: C00066900       → Found: C00066975
225. Searched: C00024762       → Found: C00024767
226. Searched: C00086261       → Found: C00086304
227. Searched: C00313417       → Found: C00313458
228. Searched: C00085992       → Found: C00086039
229. Searched: C00024575       → Found: C00024578
230. Searched: C00002860       → Found: C00002867-B
231. Searched: C00005442       → Found: C00005530-F006
232. Searched: C00014555       → Found: C00014557
233. Searched: C00479858       → Found: C00479965
234. Searched: C00002304       → Found: C00002308
235. Searched: C00088941       → Found: C00088942-F087
236. Searched: C00035932       → Found: C00036005
237. Searched: C00104361       → Found: C00104362-A086
238. Searched: C00246092       → Found: C00246093
239. Searched: C00045814       → Found: C00045838
240. Searched: C00029243       → Found: C00029278
241. Searched: C00016197       → Found: C00016230
242. Searched: C00016195       → Found: C00016230
243. Searched: C00326217       → Found: C00326244
244. Searched: C00089493       → Found: C00089530-E
245. Searched: C00014664       → Found: C00014666
246. Searched: C00625052       → Found: C00625422
247. Searched: C00321092       → Found: C00321099
248. Searched: C00342325       → Found: C00342361
249. Searched: C00020770       → Found: C00021127
250. Searched: C00032977       → Found: C00033180
251. Searched: C00089491       → Found: C00089530-E
252. Searched: C00014421       → Found: C00014441-4100
253. Searched: C00037492       → Found: C00037525
254. Searched: C00089555       → Found: C00089590
255. Searched: C00120933       → Found: C00120991-A004
256. Searched: C00021125       → Found: C00021127
257. Searched: C00022555       → Found: C00022593
258. Searched: C00089553       → Found: C00089590
259. Searched: C00341407       → Found: C00341433
260. Searched: C00321533       → Found: C00321566
261. Searched: B00006053       → Found: B00006062
262. Searched: C00190169       → Found: C00190172
263. Searched: C00319019       → Found: C00319434
264. Searched: C00015129       → Found: C00015185
265. Searched: C00693819       → Found: C00693862
266. Searched: C00670100       → Found: C00670362
267. Searched: C00024747       → Found: C00024761
268. Searched: C00670103       → Found: C00670362
269. Searched: C00693817       → Found: C00693862
270. Searched: C00320274       → Found: C00320324
271. Searched: C00013583       → Found: C00013588
272. Searched: C00090200       → Found: C00090295
273. Searched: C00112865       → Found: C00112886
274. Searched: C00313577       → Found: C00313789
275. Searched: C00016271       → Found: C00016284
276. Searched: C00437178       → Found: C00437191-F265

============================================================
Summary: 276 codes did not match exactly
These codes may need manual review or correction
